Family,Genus,Species,Code,Common_name,Native,,,,,
Fabaceae,Acmispon,strigosus,ACST,Bishop's lotus,1,,,,,
Asteraceae,Agoseris,heterophylla,AGHE,Annual agoseris,1,,,,,
Boraginaceae,Amsinckia,intermedia,AMIN,common fiddleneck,1,,,,,
Apiaceae,Apiastrum,angustifolium,APAN,mock parsley,1,,,,,
Poaceae,Avena,barbata,AVBA,slender wild oat,0,,,,,
Poaceae,Avena,fatua,AVFA,wild oat,0,,,,,
Apiaceae,Bowelsia,incana,BOIN,Bowelsia,1,,,,,
Poaceae,Bromus,carinatus,BRCA,California brome,1,,,,,
Poaceae,Bromus,diandrus,BRDI,Ripgut brome,0,,,,,
Poaceae,Bromus,hordeaceus,BRHO,Soft chess,0,,,,,
Poaceae,Bromus,madritensis,BRMA,Red brome,0,,,,,
Montiaceae,Calandrinia,menziesii,CAME,Red maids,1,,,,,
Brassicaceae,Capsella,bursa-pastoris,CABU,Sheperd's  purse,0,,,,,
Asteraceae,Cirsium,occidentale,CIOC,California thistle,1,,,,,
Asteraceae,Cirsium,vulgare,CIVU,Bull thistle,0,,,,,
Montiaceae,Claytonia,perfoliata,CLPE,miner's lettuce,1,,,,,
Onagraceae,Clarkia,purpurea,CLPU,Winecup clarkia,1,,,,,
Euphorbiacea,Croton,setiger,CRSE,Doveweed,1,,,,,
Themidaceae,Dichelostemma,capitatum,DICA,Blue dicks,1,,,,,
Geraniaceae,Erodium,cicutarium,ERCI,Redstem filaree,0,,,,,
Rubiaceae,Galium,aparine,GAAP,Cleavers,1,,,,,
Asteraceae,Gnaphalium,palustre,GNPA,Cudweed,1,,,,,
Asteraceae,Hypochaeris,glabra,HYGL,Smooth cat's ear,0,,,,,
Fabaceae,Lupinus,bicolor,LUBI,Annual lupine,1,,,,,
Poaceae,Mellica,Imperfecta,MEIM,California melic,1,,,,,
Fabaceae,Medicago,polymorpha,MEPO,Bur clover,0,,,,,
Boraginaceae,Plagiobothrys,nothofulvus,PLNO,Popcornflower,1,,,,,
Hydrophyllaceae,Pholistoma,auritum,PHAU,Fiesta flower,1,,,,,
Valenariaceae,Plectritis,macrocera,PLMA,Plectritis,1,,,,,
Ranunculaceae,Ranunculus,californica,RACA,California buttercup,1,,,,,
Lamiaceae,Salvia,columbariae ,SACO,Chia,1,,,,,
Caryophyllaceae,Stellaria,media,STME,Common chickweed,1,,,,,
Poaceae,Stipa,pulchra,STPU,Purple needlegrass,1,,,,,
Brassicaceae,Thysanocarpus,curvipes,THCU,Fringed lace pod,1,,,,,
Fabaceae,Trifolium,albopurpureum,TRAL,Rancheria clover,1,,,,,
Fabaceae,Trifolium,gracilentum,TRGR,Pinpoint clover,1,,,,,
Violaceae,Viola,pedunculata,VIPE,Johnny Jump-Up ,1,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
