Plot,Subplot,Area,AMIN,APAN,AVFA,BRDI,BRHO,CAME,CIOC,CLPE,ERCI,GAAP,HYGL,LUBI,LUNA,MEIM,MEPO,PLNO,PHAU,SABI,THCU,VIPE,PLER,CeSp,Unk1,Unk2,Unk3,Unk4
1,1,0.25,2.5,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0
1,2,0.25,2.5,0,20,40,2.5,0,2.5,0,2.5,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0
1,3,0.25,2.5,0,60,7.5,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0.25,0,0,60,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.25,0,0,40,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0
1,6,0.25,0,0,40,0,2.5,0,0,0,2.5,2.5,0,0,2.5,0,0,0,0,0,2.5,0,0,2.5,0,0,0,0
1,7,0.25,7.5,0,40,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0.25,7.5,0,40,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
1,9,0.25,0,0,20,0,0,0,0,0,20,0,0,0,2.5,0,0,0,0,0,2.5,2.5,0,0,0,0,0,0
1,10,0.25,0,0,20,0,0,0,2.5,0,7.5,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0
1,11,2.5,2.5,0,80,7.5,0,0,0,0,2.5,2.5,0,0,2.5,0,2.5,0,0,0,2.5,0,0,0,0,0,0,0
1,12,2.5,0,0,20,0,0,2.5,2.5,0,20,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.25,2.5,0,0,40,0,0,0,2.5,2.5,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,2.5,0,0,0
2,2,0.25,0,0,20,20,0,0,0,0,2.5,0,0,7.5,0,2.5,0,0,0,0,7.5,0,0,0,0,0,0,0
2,3,0.25,0,0,40,20,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
2,4,0.25,2.5,0,0,7.5,0,0,0,0,2.5,0,0,2.5,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
2,5,0.25,2.5,0,0,0,0,0,0,0,2.5,0,2.5,7.5,0,2.5,0,0,0,0,2.5,0,0,0,0,0,0,0
2,6,0.25,0,0,0,40,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,2.5,2.5,0,0,0,0,40,2.5,60
2,7,0.25,0,2.5,0,7.5,0,0,0,2.5,0,0,2.5,2.5,0,2.5,0,0,0,0,7.5,2.5,0,0,0,7.5,2.5,0
2,8,0.25,7.5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
2,9,0.25,2.5,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0
2,10,0.25,7.5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,2.5,2.5,0,20,0,0,0,0,0,2.5,0,0,2.5,0,0,0,2.5,0,0,0,2.5,0,0,2.5,0,0,0
2,12,2.5,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,40,0,0
