Plot,Subplot,Area,ACST,AMIN,APAN,AVFA,BRDI,BRHO,BRMA,CAME,CIOC,CLPE,CLPU,DICA,ERCI,GAAP,LUBI,LUNA,PLNO,THCU,TRAL,VIPE,Unk1,Unk2,Unk3,Unk4
1,1,0.25,0,7.5,2.5,40,20,0,0,0,20,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0
1,2,0.25,0,20,0,60,20,0,0,0,7.5,0,0,0,0,2.5,0,0,0,2.5,0,0,0,0,0,0
1,3,0.25,0,0,0,40,40,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0.25,0,40,0,20,7.5,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.25,0,20,0,2.5,40,0,0,0,40,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
1,6,0.25,0,2.5,0,0,80,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
1,7,0.25,0,0,2.5,2.5,97.5,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0
1,8,0.25,0,2.5,0,0,92.5,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
1,9,0.25,0,7.5,0,2.5,80,0,0,0,20,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0
1,10,0.25,0,2.5,0,60,7.5,0,0,0,20,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0
1,11,2.5,0,7.5,0,70,0,0,0,0,0,0,0,0,7.5,0,0,7.5,0,2.5,0,0,0,0,0,0
1,12,2.5,0,2.5,0,80,0,0,0,2.5,2.5,2.5,0,0,0,0,0,20,0,7.5,0,0,0,0,0,0
2,1,0.25,0,1,0,70,25,0,0,0,0,0,0,0,14,0,1,0,0,2,0,0,0,0,0,0
2,2,0.25,0,0,0,42,43,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,5,2,0
2,3,0.25,0,0,0,20,60,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,5,0,0
2,4,0.25,0,0,0,69,5,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0
2,5,0.25,0,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1
2,6,0.25,0,0,0,86,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2,7,0.25,0,0,0,5,75,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,3,0,0,0
2,8,0.25,0,0,0,20,30,0,0,0,0,0,0,0,8,0,2,0,0,5,0,0,8,0,0,0
2,9,0.25,0,0,0,70,24,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0
2,10,0.25,0,0,0,45,18,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1
2,11,2.5,0,0,0,5,55,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,1,0,1
3,1,0.25,0,0,0,35,0,0,7.5,15,0,0,0,0,39,0,0,1,2.5,0,0,0,0,0,0,0
3,2,0.25,0,0,0,30,0,0,30,0,0,0,0,0,15,0,0,5,20,0,0,0,0,0,0,0
3,3,0.25,0,0,0,25,0,0,25,0,0,0,5,0,25,0,0,10,10,0,0,0,0,0,0,0
3,4,0.25,1,0,0,20,0,0,10,0,0,0,1,0,48,0,5,0,15,0,0,0,0,0,0,0
3,5,0.25,0,0,0,0,10,0,5,0,0,0,2,0,46,0,0,0,0,0,0,35,0,0,20,0
3,6,0.25,5,0,0,0,74,0,0,0,0,15,0,0,5,0,1,0,0,0,0,0,0,0,15,0
3,7,0.25,25,0,0,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
3,8,0.25,2,0,0,10,20,0,10,0,0,0,2.5,0,40,0,10,0,5,0,0,0,0,0,0,0
3,9,0.25,10,0,0,0,0,60,0,0,0,0,8,0,17,0,0,0,5,0,0,0,0,0,0,0
3,10,0.25,0,0,0,10,69,0,0,0,0,0,0,0,15,0,5,0,1,0,0,0,1,0,0,0
3,11,2.5,0,0,0,2,40,0,0,0,0,5,5,1,15,0,0,15,12,0,0,5,1,0,15,0
